2018-07-12 08:27:23.079 INFO  201804201319 | new login: admin 
2018-07-12 08:28:50.063 INFO  201804201319 | new login: admin 
2018-07-12 08:32:32.793 INFO  201804201319 | new login: admin 
2018-07-12 08:37:56.331 INFO  201804201319 | new login: admin 
2018-07-12 09:04:44.070 INFO  201804201319 | new login: admin 
2018-07-12 09:39:12.932 INFO  201804201319 | new login: admin 
2018-07-12 09:43:59.170 INFO  201804201319 | new login: admin 
2018-07-12 10:44:06.574 INFO  201804201319 | new login: admin 
2018-07-12 10:44:50.555 INFO  201804201319 | new login: admin 
2018-07-12 12:25:33.548 INFO  201804201319 | new login: admin 
2018-07-12 15:28:13.065 INFO  201804201319 | new login: admin 
2018-07-12 15:28:16.281 INFO  201804201319 | new login: admin 
2018-07-12 16:35:02.442 INFO  201804201330 | upload_file. oldpath:/var/folders/tl/6v9jcqtn5xnbp89_r27_m8t40000gn/T/upload_a401c7434bdfbeb5d475de4c3dbc26c4, file_path:users/admin/jspsychיפוי כוח מנהל.docx 
2018-07-12 16:47:00.989 INFO  201804201319 | new login: admin 
2018-07-12 16:47:08.874 INFO  201804201330 | upload_file. oldpath:/var/folders/tl/6v9jcqtn5xnbp89_r27_m8t40000gn/T/upload_cbb9dcbb7f7307da56e3d60361325c99, file_path:users/admin/jspsych/יפוי כוח מנהל.docx 
2018-07-12 17:50:34.266 INFO  201804201319 | new login: admin 
